state,year,cultivators_k
AP + Telangana,2001,18226
AP + Telangana,2002,17753.6
AP + Telangana,2003,17281.2
AP + Telangana,2004,16808.8
AP + Telangana,2005,16336.4
AP + Telangana,2006,15864
AP + Telangana,2007,15391.6
AP + Telangana,2008,14919.2
AP + Telangana,2009,14446.8
AP + Telangana,2010,13974.400000000001
AP + Telangana,2011,13502
AP + Telangana,2012,13029.6
AP + Telangana,2013,12557.2
AP + Telangana,2014,12084.8
AP + Telangana,2015,11612.400000000001
AP + Telangana,2016,11140
AP + Telangana,2017,10935.6
AP + Telangana,2018,10935.6
AP + Telangana,2019,10935.6
AP + Telangana,2020,10935.6
AP + Telangana,2021,10935.6
AP + Telangana,2022,10935.6
Karnataka,2001,10341
Karnataka,2002,10232.5
Karnataka,2003,10124
Karnataka,2004,10015.5
Karnataka,2005,9907
Karnataka,2006,9798.5
Karnataka,2007,9690
Karnataka,2008,9581.5
Karnataka,2009,9473
Karnataka,2010,9364.5
Karnataka,2011,9256
Karnataka,2012,9147.5
Karnataka,2013,9039
Karnataka,2014,8930.5
Karnataka,2015,8822
Karnataka,2016,8713.5
Karnataka,2017,8605
Karnataka,2018,8496.5
Karnataka,2019,8388
Karnataka,2020,8279.5
Karnataka,2021,8171
Karnataka,2022,8062.5
Madhya Pradesh,2001,20118
Madhya Pradesh,2002,19643.3
Madhya Pradesh,2003,19168.6
Madhya Pradesh,2004,18693.9
Madhya Pradesh,2005,18219.2
Madhya Pradesh,2006,17744.5
Madhya Pradesh,2007,17269.8
Madhya Pradesh,2008,16795.1
Madhya Pradesh,2009,16320.4
Madhya Pradesh,2010,15845.7
Madhya Pradesh,2011,15371
Madhya Pradesh,2012,14896.3
Madhya Pradesh,2013,14421.6
Madhya Pradesh,2014,13946.900000000001
Madhya Pradesh,2015,13472.2
Madhya Pradesh,2016,12997.5
Madhya Pradesh,2017,12522.8
Madhya Pradesh,2018,12070.8
Madhya Pradesh,2019,12070.8
Madhya Pradesh,2020,12070.8
Madhya Pradesh,2021,12070.8
Madhya Pradesh,2022,12070.8
Maharashtra,2001,15281
Maharashtra,2002,15126.6
Maharashtra,2003,14972.2
Maharashtra,2004,14817.8
Maharashtra,2005,14663.4
Maharashtra,2006,14509
Maharashtra,2007,14354.6
Maharashtra,2008,14200.2
Maharashtra,2009,14045.8
Maharashtra,2010,13891.4
Maharashtra,2011,13737
Maharashtra,2012,13582.6
Maharashtra,2013,13428.2
Maharashtra,2014,13273.8
Maharashtra,2015,13119.4
Maharashtra,2016,12965
Maharashtra,2017,12810.6
Maharashtra,2018,12656.2
Maharashtra,2019,12501.8
Maharashtra,2020,12347.4
Maharashtra,2021,12193
Maharashtra,2022,12038.6
