year,lasalgaon_rs_qtl,note
2001,420,normal
2002,380,normal
2003,510,normal
2004,460,normal
2005,530,normal
2006,480,normal
2007,560,normal
2008,620,normal
2009,840,normal
2010,310,crash: bumper crop depressed prices
2011,1800,spike: supply crash after 2010 low plantings
2012,680,correction
2013,2600,"spike: export ban lifted, supply tight"
2014,740,correction post export-ban
2015,820,normal
2016,580,normal
2017,1050,normal
2018,720,normal
2019,4200,spike: drought + floods cut supply sharply
2020,880,post-spike correction
2021,1250,normal-high
2022,1600,elevated
